ILLUMINA_BioSample,CenterName,ONT_BioSample,BioSample,ILLUMINA_Run,ONT_Run
SAMN27762829,WADSWORTH CENTER,SAMN15703140,,,
SAMN27762812,WADSWORTH CENTER,SAMN15703123,,,
SAMN27762813,WADSWORTH CENTER,SAMN15703124,,,
SAMN27762824,WADSWORTH CENTER,SAMN15703135,,,
SAMN27762826,WADSWORTH CENTER,SAMN15703137,,,
SAMN27762811,WADSWORTH CENTER,SAMN15703122,,,
SAMN27762820,WADSWORTH CENTER,SAMN15703131,,,
SAMN27762822,WADSWORTH CENTER,SAMN15703133,,,
SAMN27762823,WADSWORTH CENTER,SAMN15703134,,,
SAMN27762751,WADSWORTH CENTER,SAMN15703107,,,
SAMN27762752,WADSWORTH CENTER,SAMN15703108,,,
SAMN27762753,WADSWORTH CENTER,SAMN15703109,,,
SAMN27762754,WADSWORTH CENTER,SAMN15703110,,,
SAMN27762764,WADSWORTH CENTER,SAMN15703120,,,
SAMN27762747,WADSWORTH CENTER,SAMN15703103,,,
SAMN27762749,WADSWORTH CENTER,SAMN15703105,,,
SAMN27762750,WADSWORTH CENTER,SAMN15703106,,,
SAMN27762746,WADSWORTH CENTER,SAMN15703102,,,
SAMN27762755,WADSWORTH CENTER,SAMN15703111,,,
SAMN27762756,WADSWORTH CENTER,SAMN15703112,,,
SAMN27762757,WADSWORTH CENTER,SAMN15703113,,,
SAMN27762530,WADSWORTH CENTER,SAMN15703087,,,
SAMN27762531,WADSWORTH CENTER,SAMN15703088,,,
SAMN27762532,WADSWORTH CENTER,SAMN15703089,,,
SAMN27762533,WADSWORTH CENTER,SAMN15703090,,,
SAMN27762745,WADSWORTH CENTER,SAMN15703101,,,
SAMN27762526,WADSWORTH CENTER,SAMN15703083,,,
SAMN27762528,WADSWORTH CENTER,SAMN15703085,,,
SAMN27762529,WADSWORTH CENTER,SAMN15703086,,,
SAMN27762543,WADSWORTH CENTER,SAMN15703100,,,
SAMN27762539,WADSWORTH CENTER,SAMN15703096,,,
SAMN27762540,WADSWORTH CENTER,SAMN15703097,,,
SAMN27762541,WADSWORTH CENTER,SAMN15703098,,,
SAMN27762525,WADSWORTH CENTER,SAMN15703082,,,
SAMN27762534,WADSWORTH CENTER,SAMN15703091,,,
SAMN27762535,WADSWORTH CENTER,SAMN15703092,,,
SAMN27762536,WADSWORTH CENTER,SAMN15703093,,,
SAMN27762537,WADSWORTH CENTER,SAMN15703094,,,
SAMN27762224,WADSWORTH CENTER,SAMN15703067,,,
SAMN27762225,WADSWORTH CENTER,SAMN15703068,,,
SAMN27762226,WADSWORTH CENTER,SAMN15703069,,,
SAMN27762524,WADSWORTH CENTER,SAMN15703081,,,
SAMN27762237,WADSWORTH CENTER,SAMN15703080,,,
SAMN27762220,WADSWORTH CENTER,SAMN15703063,,,
SAMN27762222,WADSWORTH CENTER,SAMN15703065,,,
SAMN27762221,WADSWORTH CENTER,SAMN15703064,,,
SAMN27762223,WADSWORTH CENTER,SAMN15703066,,,
SAMN27762232,WADSWORTH CENTER,SAMN15703075,,,
SAMN27762235,WADSWORTH CENTER,SAMN15703078,,,
SAMN27762234,WADSWORTH CENTER,SAMN15703077,,,
SAMN27762236,WADSWORTH CENTER,SAMN15703079,,,
SAMN27762219,WADSWORTH CENTER,SAMN15703062,,,
SAMN27762228,WADSWORTH CENTER,SAMN15703071,,,
SAMN27762229,WADSWORTH CENTER,SAMN15703072,,,
SAMN27762230,WADSWORTH CENTER,SAMN15703073,,,
SAMN27762231,WADSWORTH CENTER,SAMN15703074,,,
SAMN27761767,WADSWORTH CENTER,SAMN15703047,,,
SAMN27761768,WADSWORTH CENTER,SAMN15703048,,,
SAMN27761769,WADSWORTH CENTER,SAMN15703049,,,
SAMN27761770,WADSWORTH CENTER,SAMN15703050,,,
SAMN27762218,WADSWORTH CENTER,SAMN15703061,,,
SAMN27761763,WADSWORTH CENTER,SAMN15703043,,,
SAMN27761775,WADSWORTH CENTER,SAMN15703055,,,
SAMN27761776,WADSWORTH CENTER,SAMN15703056,,,
SAMN27761778,WADSWORTH CENTER,SAMN15703058,,,
SAMN27761762,WADSWORTH CENTER,SAMN15703042,,,
SAMN27761771,WADSWORTH CENTER,SAMN15703051,,,
SAMN27761772,WADSWORTH CENTER,SAMN15703052,,,
SAMN27761655,WADSWORTH CENTER,SAMN15703004,,,
SAMN27761656,WADSWORTH CENTER,SAMN15703005,,,
SAMN27761657,WADSWORTH CENTER,SAMN15703006,,,
SAMN27761658,WADSWORTH CENTER,SAMN15703007,,,
SAMN27761761,WADSWORTH CENTER,SAMN15703041,,,
SAMN27761651,WADSWORTH CENTER,SAMN15703000,,,
SAMN27761652,WADSWORTH CENTER,SAMN15703001,,,
SAMN27761653,WADSWORTH CENTER,SAMN15703002,,,
SAMN27761654,WADSWORTH CENTER,SAMN15703003,,,
SAMN27761668,WADSWORTH CENTER,SAMN15703017,,,
SAMN27761663,WADSWORTH CENTER,SAMN15703012,,,
SAMN27761664,WADSWORTH CENTER,SAMN15703013,,,
SAMN27761665,WADSWORTH CENTER,SAMN15703014,,,
SAMN27761650,WADSWORTH CENTER,SAMN15702999,,,
SAMN27761660,WADSWORTH CENTER,SAMN15703009,,,
SAMN27761661,WADSWORTH CENTER,SAMN15703010,,,
SAMN27761662,WADSWORTH CENTER,SAMN15703011,,,
SAMN27761579,WADSWORTH CENTER,SAMN15702985,,,
SAMN27761581,WADSWORTH CENTER,SAMN15702987,,,
SAMN27761649,WADSWORTH CENTER,SAMN15702998,,,
SAMN27761591,WADSWORTH CENTER,SAMN15702997,,,
SAMN27761575,WADSWORTH CENTER,SAMN15702981,,,
SAMN27761576,WADSWORTH CENTER,SAMN15702982,,,
SAMN27761577,WADSWORTH CENTER,SAMN15702983,,,
SAMN27761587,WADSWORTH CENTER,SAMN15702993,,,
SAMN27761589,WADSWORTH CENTER,SAMN15702995,,,
SAMN27761590,WADSWORTH CENTER,SAMN15702996,,,
SAMN27761573,WADSWORTH CENTER,SAMN15702979,,,
SAMN27761582,WADSWORTH CENTER,SAMN15702988,,,
SAMN27761584,WADSWORTH CENTER,SAMN15702990,,,
SAMN27761585,WADSWORTH CENTER,SAMN15702991,,,
SAMN27761471,WADSWORTH CENTER,SAMN15702966,,,
SAMN27761472,WADSWORTH CENTER,SAMN15702967,,,
SAMN27761572,WADSWORTH CENTER,SAMN15702978,,,
SAMN27761482,WADSWORTH CENTER,SAMN15702977,,,
SAMN27761466,WADSWORTH CENTER,SAMN15702961,,,
SAMN27761467,WADSWORTH CENTER,SAMN15702962,,,
SAMN27761468,WADSWORTH CENTER,SAMN15702963,,,
SAMN27761477,WADSWORTH CENTER,SAMN15702972,,,
SAMN27761478,WADSWORTH CENTER,SAMN15702973,,,
SAMN27761479,WADSWORTH CENTER,SAMN15702974,,,
SAMN27761480,WADSWORTH CENTER,SAMN15702975,,,
SAMN27761481,WADSWORTH CENTER,SAMN15702976,,,
